time,category,count
2022-02-01 21:00:00,COUNT=484,23
2022-02-04 17:00:00,#CancerCured_By_TrueWorship,101
2022-02-04 12:00:00,COUNT=771,83
2022-02-01 20:00:00,U,55
2022-02-04 09:00:00,COUNT=703,60
2022-02-04 10:00:00,COUNT=354,116
2022-02-04 11:00:00,me,2762
2022-02-04 17:00:00,school,104
2022-02-04 15:00:00,such,134
2022-02-04 09:00:00,COUNT=670,101
2022-02-01 20:00:00,COUNT=465,92
2022-02-04 18:00:00,w…,67
2022-02-04 11:00:00,6,280
2022-02-04 05:00:00,COUNT=306,14
2022-02-04 15:00:00,retweet,436
2022-02-04 17:00:00,go,512
2022-02-04 18:00:00,COUNT=584,39
2022-02-04 11:00:00,I've,141
2022-02-04 15:00:00,COUNT=679,95
2022-02-04 08:00:00,$20,95
2022-02-04 18:00:00,check,52
2022-02-04 07:00:00,COUNT=647,111
2022-02-04 18:00:00,COUNT=892,54
2022-02-04 12:00:00,COUNT=765,329
2022-02-04 13:00:00,COUNT=842,131
2022-02-04 05:00:00,COUNT=752,9
2022-02-04 09:00:00,COUNT=925,81
2022-02-01 21:00:00,His,7
2022-02-04 11:00:00,COUNT=798,72
2022-02-04 07:00:00,COUNT=529,73
2022-02-04 07:00:00,it’s,603
2022-02-04 13:00:00,COUNT=857,62
2022-02-04 06:00:00,Now,188
2022-02-04 18:00:00,done,128
2022-02-04 13:00:00,COUNT=921,63
2022-02-01 21:00:00,really,57
2022-02-04 14:00:00,Very,67
2022-02-04 09:00:00,COUNT=554,82
2022-02-04 15:00:00,COUNT=813,203
2022-02-04 18:00:00,COUNT=813,68
2022-02-04 06:00:00,type,98
2022-02-04 13:00:00,u,571
2022-02-04 09:00:00,tag,84
2022-02-04 09:00:00,COUNT=645,57
2022-02-01 20:00:00,away,222
2022-02-04 16:00:00,random,76
2022-02-04 10:00:00,COUNT=560,287
2022-02-04 07:00:00,Of,141
2022-02-04 13:00:00,❤️,252
2022-02-04 13:00:00,until,144
2022-02-01 21:00:00,call,12
2022-02-04 11:00:00,no,822
2022-02-04 09:00:00,COUNT=412,38
2022-02-04 15:00:00,COUNT=412,51
2022-02-04 05:00:00,cute,13
2022-02-01 21:00:00,someone,21
2022-02-04 07:00:00,someone,349
2022-02-04 05:00:00,world,19
2022-02-04 18:00:00,something,95
2022-02-01 21:00:00,waiting,10
2022-02-04 09:00:00,COUNT=511,65
2022-02-04 13:00:00,get,1134
2022-02-04 09:00:00,For,220
2022-02-01 20:00:00,✅RT,63
2022-02-04 13:00:00,COUNT=791,91
2022-02-01 21:00:00,I,702
2022-02-04 09:00:00,I’ve,194
2022-02-04 08:00:00,let,228
2022-02-04 12:00:00,Come,78
2022-02-04 08:00:00,being,601
2022-02-04 05:00:00,about,137
2022-02-04 13:00:00,enter:,135
2022-02-04 17:00:00,COUNT=912,48
2022-02-04 06:00:00,first,522
2022-02-04 11:00:00,COUNT=890,146
2022-02-04 08:00:00,COUNT=627,44
2022-02-01 20:00:00,asked,61
2022-02-04 07:00:00,many,334
2022-02-04 17:00:00,2,644
2022-02-04 05:00:00,RT,2425
2022-02-04 18:00:00,he,538
2022-02-04 14:00:00,beautiful,173
2022-02-04 10:00:00,COUNT=28,1427
2022-02-04 18:00:00,COUNT=2,8721
2022-02-04 10:00:00,COUNT=6,5331
2022-02-04 18:00:00,COUNT=137,255
2022-02-04 08:00:00,COUNT=8,4070
2022-02-04 16:00:00,COUNT=67,565
2022-02-04 11:00:00,COUNT=43,1103
2022-02-04 11:00:00,...,86
2022-02-04 12:00:00,COUNT=32,1337
2022-02-04 09:00:00,COUNT=47,998
2022-02-04 16:00:00,COUNT=103,365
2022-02-01 21:00:00,COUNT=32,174
2022-02-04 13:00:00,COUNT=62,715
2022-02-04 14:00:00,COUNT=345,177
2022-02-01 21:00:00,COUNT=48,96
2022-02-04 17:00:00,COUNT=44,921
2022-02-04 09:00:00,COUNT=204,164
2022-02-01 21:00:00,COUNT=457,16
2022-02-04 07:00:00,COUNT=457,162
2022-02-04 17:00:00,COUNT=332,199
2022-02-01 21:00:00,now.,9
2022-02-04 06:00:00,7,102
2022-02-04 08:00:00,COUNT=138,346
2022-02-04 14:00:00,COUNT=823,358
2022-02-04 15:00:00,COUNT=69,701
